215,False,False,Oğuz Yufka,[],/biz/o%C4%9Fuz-yufka-adana?osq=bakeries,"[{'title': 'Bakeries', 'url': '/search?find_desc=Bakeries&amp;find_loc=Alada%C4%9F'}]",,0,True,0,,[],(0322) 2256502,,,,[],{},oğuz-yufka-adana,
216,False,False,Kardeşler Unlu Mamüller,[],/biz/karde%C5%9Fler-unlu-mam%C3%BCller-adana-3?osq=bakeries,"[{'title': 'Bakeries', 'url': '/search?find_desc=Bakeries&amp;find_loc=Alada%C4%9F'}]",,0,True,0,,[],(0322) 2310178,,,,[],{},kardeşler-unlu-mamüller-adana-3,
217,False,False,Gültepe Unlu Mamülleri,[],/biz/g%C3%BCltepe-unlu-mam%C3%BClleri-adana-2?osq=bakeries,"[{'title': 'Bakeries', 'url': '/search?find_desc=Bakeries&amp;find_loc=Alada%C4%9F'}]",,0,True,0,,[],(0322) 4543092,,,,[],{},gültepe-unlu-mamülleri-adana-2,
218,False,False,Ecem Pasta&amp;Tatlı Dünyası,[],/biz/ecem-pasta-ve-tatl%C4%B1-d%C3%BCnyas%C4%B1-adana?osq=bakeries,"[{'title': 'Bakeries', 'url': '/search?find_desc=Bakeries&amp;find_loc=Alada%C4%9F'}]",,0,True,0,,[],(0322) 3292020,,,,[],{},ecem-pasta-ve-tatlı-dünyası-adana,
219,False,False,Boğalar 2 Havutlu Ekmek Fırını,[],/biz/bo%C4%9Falar-2-havutlu-ekmek-f%C4%B1r%C4%B1n%C4%B1-adana?osq=bakeries,"[{'title': 'Bakeries', 'url': '/search?find_desc=Bakeries&amp;find_loc=Alada%C4%9F'}]",,0,True,0,,[],(0322) 3363964,,,,[],{},boğalar-2-havutlu-ekmek-fırını-adana,
220,False,False,Metin Usta Tatınca Unlu Mamülleri,[],/biz/metin-usta-tat%C4%B1nca-unlu-mam%C3%BClleri-adana?osq=bakeries,"[{'title': 'Bakeries', 'url': '/search?find_desc=Bakeries&amp;find_loc=Alada%C4%9F'}]",,0,True,0,,[],(0322) 2393359,,,,[],{},metin-usta-tatınca-unlu-mamülleri-adana,
221,False,False,Güney Pastanesi,[],/biz/g%C3%BCney-pastanesi-adana?osq=bakeries,"[{'title': 'Bakeries', 'url': '/search?find_desc=Bakeries&amp;find_loc=Alada%C4%9F'}]",,0,True,0,,[],(0322) 2263173,,,,[],{},güney-pastanesi-adana,
222,False,False,Aktaşlar Pide Fırını,[],/biz/akta%C5%9Flar-pide-f%C4%B1r%C4%B1n%C4%B1-adana?osq=bakeries,"[{'title': 'Bakeries', 'url': '/search?find_desc=Bakeries&amp;find_loc=Alada%C4%9F'}]",,0,True,0,,[],(0322) 4596399,,,,[],{},aktaşlar-pide-fırını-adana,
223,False,False,Kardeşler Unlu Mamüller,[],/biz/karde%C5%9Fler-unlu-mam%C3%BCller-adana-5?osq=bakeries,"[{'title': 'Bakeries', 'url': '/search?find_desc=Bakeries&amp;find_loc=Alada%C4%9F'}]",,0,True,0,,[],(0322) 4573948,,,,[],{},kardeşler-unlu-mamüller-adana-5,
224,False,False,Gülay Unlu Mamüller,[],/biz/g%C3%BClay-unlu-mam%C3%BCller-adana?osq=bakeries,"[{'title': 'Bakeries', 'url': '/search?find_desc=Bakeries&amp;find_loc=Alada%C4%9F'}]",,0,True,0,,[],(0322) 6133660,,,,[],{},gülay-unlu-mamüller-adana,
225,False,False,Karadeniz Ekmekçilik,[],/biz/karadeniz-ekmek%C3%A7ilik-adana-2?osq=bakeries,"[{'title': 'Bakeries', 'url': '/search?find_desc=Bakeries&amp;find_loc=Alada%C4%9F'}]",,0,True,0,,[],(0322) 2272369,,,,[],{},karadeniz-ekmekçilik-adana-2,
226,False,False,Kardeşler Börekçilik,[],/biz/karde%C5%9Fler-b%C3%B6rek%C3%A7ilik-adana?osq=bakeries,"[{'title': 'Bakeries', 'url': '/search?find_desc=Bakeries&amp;find_loc=Alada%C4%9F'}]",,0,True,0,,[],(0322) 3519020,,,,[],{},kardeşler-börekçilik-adana,
227,False,False,Kardeşler Unlu Mamüller,[],/biz/karde%C5%9Fler-unlu-mam%C3%BCller-adana-4?osq=bakeries,"[{'title': 'Bakeries', 'url': '/search?find_desc=Bakeries&amp;find_loc=Alada%C4%9F'}]",,0,True,0,,[],(0322) 2266099,,,,[],{},kardeşler-unlu-mamüller-adana-4,
228,False,False,Doğusan Ekmek Fabrikası,[],/biz/do%C4%9Fusan-ekmek-fabrikas%C4%B1-adana?osq=bakeries,"[{'title': 'Bakeries', 'url': '/search?find_desc=Bakeries&amp;find_loc=Alada%C4%9F'}]",,0,True,0,,[],(0322) 2344278,,,,[],{},doğusan-ekmek-fabrikası-adana,
229,False,False,Zaman Ekmek Fırını,[],/biz/zaman-ekmek-f%C4%B1r%C4%B1n%C4%B1-adana?osq=bakeries,"[{'title': 'Bakeries', 'url': '/search?find_desc=Bakeries&amp;find_loc=Alada%C4%9F'}]",,0,True,0,,[],(0322) 2240507,,,,[],{},zaman-ekmek-fırını-adana,
230,False,False,Enes Pide Fırını,[],/biz/enes-pide-f%C4%B1r%C4%B1n%C4%B1-adana?osq=bakeries,"[{'title': 'Bakeries', 'url': '/search?find_desc=Bakeries&amp;find_loc=Alada%C4%9F'}]",,0,True,0,,[],(0322) 2247229,,,,[],{},enes-pide-fırını-adana,
231,False,False,Bahar Pide Fırını,[],/biz/bahar-pide-f%C4%B1r%C4%B1n%C4%B1-adana?osq=bakeries,"[{'title': 'Bakeries', 'url': '/search?find_desc=Bakeries&amp;find_loc=Alada%C4%9F'}]",,0,True,0,,[],(0322) 3245723,,,,[],{},bahar-pide-fırını-adana,
232,False,False,Çınaraltı Pastanesi,[],/biz/%C3%A7%C4%B1naralt%C4%B1-pastanesi-adana?osq=bakeries,"[{'title': 'Bakeries', 'url': '/search?find_desc=Bakeries&amp;find_loc=Alada%C4%9F'}]",,0,True,0,,[],(0322) 2279929,,,,[],{},çınaraltı-pastanesi-adana,
233,False,False,Lale Börekçilik,[],/biz/lale-b%C3%B6rek%C3%A7ilik-adana-4?osq=bakeries,"[{'title': 'Bakeries', 'url': '/search?find_desc=Bakeries&amp;find_loc=Alada%C4%9F'}]",,0,True,0,,[],(0322) 2357507,,,,[],{},lale-börekçilik-adana-4,
234,False,False,Kardeşler Unlu Mamüller,[],/biz/karde%C5%9Fler-unlu-mam%C3%BCller-adana-8?osq=bakeries,"[{'title': 'Bakeries', 'url': '/search?find_desc=Bakeries&amp;find_loc=Alada%C4%9F'}]",,0,True,0,,[],(0322) 3634959,,,,[],{},kardeşler-unlu-mamüller-adana-8,
235,False,False,Büyükbaş Pide Fırını,[],/biz/b%C3%BCy%C3%BCkba%C5%9F-pide-f%C4%B1r%C4%B1n%C4%B1-adana?osq=bakeries,"[{'title': 'Bakeries', 'url': '/search?find_desc=Bakeries&amp;find_loc=Alada%C4%9F'}]",,0,True,0,,[],(0322) 2279153,,,,[],{},büyükbaş-pide-fırını-adana,
236,False,False,Karakuş Ekmek Dünyası,[],/biz/karaku%C5%9F-ekmek-d%C3%BCnyas%C4%B1-adana?osq=bakeries,"[{'title': 'Bakeries', 'url': '/search?find_desc=Bakeries&amp;find_loc=Alada%C4%9F'}]",,0,True,0,,[],(0322) 4282084,,,,[],{},karakuş-ekmek-dünyası-adana,
237,False,False,Tanrıverdi Unlu Mamulleri,[],/biz/tanr%C4%B1verdi-unlu-mamulleri-adana?osq=bakeries,"[{'title': 'Bakeries', 'url': '/search?find_desc=Bakeries&amp;find_loc=Alada%C4%9F'}]",,0,True,0,,[],(0322) 2324410,,,,[],{},tanrıverdi-unlu-mamulleri-adana,
238,False,False,Yavuz Ekmekçilik,[],/biz/yavuz-ekmek%C3%A7ilik-adana?osq=bakeries,"[{'title': 'Bakeries', 'url': '/search?find_desc=Bakeries&amp;find_loc=Alada%C4%9F'}]",,0,True,0,,[],(0322) 4320349,,,,[],{},yavuz-ekmekçilik-adana,
239,False,False,Kardeşler Unlu Mamüller,[],/biz/karde%C5%9Fler-unlu-mam%C3%BCller-adana-9?osq=bakeries,"[{'title': 'Bakeries', 'url': '/search?find_desc=Bakeries&amp;find_loc=Alada%C4%9F'}]",,0,True,0,,[],(0322) 2621119,,,,[],{},kardeşler-unlu-mamüller-adana-9,
240,False,False,Erciyes Unlu Mamüller,[],/biz/erciyes-unlu-mam%C3%BCller-adana?osq=bakeries,"[{'title': 'Bakeries', 'url': '/search?find_desc=Bakeries&amp;find_loc=Alada%C4%9F'}]",,0,True,0,,[],(0322) 3516263,,,,[],{},erciyes-unlu-mamüller-adana,
1,False,False,Tyana Mavi Cafe,[],/biz/tyana-mavi-cafe-ni%C4%9Fde?osq=cafe,"[{'title': 'Coffee &amp; Tea', 'url': '/search?find_desc=Coffee+%26+Tea&amp;find_loc=Alada%C4%9F'}, {'title': 'Cafes', 'url': '/search?find_desc=Cafes&amp;find_loc=Alada%C4%9F'}]",,5.0,True,1,,[],(0543) 5718442,,,,[],{},tyana-mavi-cafe-niğde,
2,False,False,Cansu Cafe,[],/biz/cansu-cafe-adana?osq=cafe,"[{'title': 'Cafes', 'url': '/search?find_desc=Cafes&amp;find_loc=Alada%C4%9F'}]",,0.0,True,0,,[],,,,,[],{},cansu-cafe-adana,
3,False,False,Emirgan Sütiş,[],/biz/emirgan-s%C3%BCti%C5%9F-adana?osq=cafe,"[{'title': 'Turkish', 'url': '/search?find_desc=Turkish&amp;find_loc=Alada%C4%9F'}, {'title': 'Cafes', 'url': '/search?find_desc=Cafes&amp;find_loc=Alada%C4%9F'}, {'title': 'Donairs', 'url': '/search?find_desc=Donairs&amp;find_loc=Alada%C4%9F'}]",,0.0,True,0,,[],(0322) 2343000,,,,[],{},emirgan-sütiş-adana,http://www.sutis.com
4,False,False,KahveRengi Cafe,[],/biz/kahverengi-cafe-ni%C4%9Fde?osq=cafe,"[{'title': 'Coffee &amp; Tea', 'url': '/search?find_desc=Coffee+%26+Tea&amp;find_loc=Alada%C4%9F'}, {'title': 'Cafes', 'url': '/search?find_desc=Cafes&amp;find_loc=Alada%C4%9F'}]",,0.0,True,0,,[],(0388) 2330251,,,,[],{},kahverengi-cafe-niğde,
5,False,False,Cafe Atilla,[],/biz/cafe-atilla-mersin?osq=cafe,"[{'title': 'Coffee &amp; Tea', 'url': '/search?find_desc=Coffee+%26+Tea&amp;find_loc=Alada%C4%9F'}, {'title': 'Cafes', 'url': '/search?find_desc=Cafes&amp;find_loc=Alada%C4%9F'}]",,0.0,True,0,,[],(0324) 6247831,,,,[],{},cafe-atilla-mersin,
